asset_id,partition,gender_label,confidence_bucket,quality_score,full_hair_score,render_safe_score,coverage_ratio,bbox_width,bbox_height,crop_width,crop_height,render_safe_candidate,render_safe_flags,image_path,mask_path
celeba_full_hair_000003,train,female,high,1.0,1.0,1.0,0.363416,136,208,174,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000003.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000003_mask.png
celeba_full_hair_000004,train,male,high,1.0,1.0,1.0,0.207968,143,129,165,152,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000004.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000004_mask.png
celeba_full_hair_000005,train,female,high,1.0,1.0,1.0,0.260927,135,193,169,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000005.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000005_mask.png
celeba_full_hair_000006,train,male,high,1.0,1.0,1.0,0.377049,147,194,172,217,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000006.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000006_mask.png
celeba_full_hair_000007,train,male,high,1.0,1.0,1.0,0.209076,123,141,161,157,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000007.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000007_mask.png
celeba_full_hair_000011,train,female,high,1.0,1.0,1.0,0.34999,170,204,178,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000011.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000011_mask.png
celeba_full_hair_000012,train,female,high,1.0,1.0,1.0,0.210777,134,159,173,185,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000012.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000012_mask.png
celeba_full_hair_000015,train,male,high,1.0,1.0,1.0,0.205391,118,165,154,185,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000015.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000015_mask.png
celeba_full_hair_000017,train,female,high,1.0,1.0,1.0,0.234048,129,208,165,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000017.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000017_mask.png
celeba_full_hair_000018,train,male,high,1.0,1.0,1.0,0.185393,119,167,157,194,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000018.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000018_mask.png
