asset_id,source_dataset,original_celeba_file,raw_image_path,raw_mask_path,image_path,mask_path,partition,gender_label,quality_score,confidence_bucket,quality_flags,hair_mask_stats,mask_topology_stats,mask_shape_stats,crop_box,crop_size,celeba_attribute_hints,labeling,full_hair_score,full_hair_flags,full_hair_candidate,render_review,render_bank
celeba_full_hair_000001,CelebA_full_hair,000011.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000011.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000011_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000001.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000001_mask.png,train,female,1.0,high,['usable_candidate'],"{'positive_pixels': 8328, 'coverage_ratio': 0.214617, 'bbox_x': 7, 'bbox_y': 17, 'bbox_width': 136, 'bbox_height': 153}","{'component_count': 1, 'largest_component_pixels': 8328, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.187986, 'top_band_span_ratio': 0.477528, 'side_bias_ratio': 0.301393, 'outer_side_ratio': 0.190442, 'top_rows_with_pixels': 22}","{'left': 0, 'top': 0, 'right': 164, 'bottom': 182}","{'width': 164, 'height': 182}","{'positive_fields': ['Black_Hair'], 'color_hint': 'Black_Hair', 'texture_hint': None, 'bangs_hint': False, 'male_hint': False, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000024,CelebA_full_hair,000198.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000198.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000198_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000024.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000024_mask.png,train,female,1.0,high,['usable_candidate'],"{'positive_pixels': 14768, 'coverage_ratio': 0.380579, 'bbox_x': 0, 'bbox_y': 0, 'bbox_width': 160, 'bbox_height': 218}","{'component_count': 1, 'largest_component_pixels': 14768, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.250504, 'top_band_span_ratio': 0.544944, 'side_bias_ratio': 0.001896, 'outer_side_ratio': 0.251557, 'top_rows_with_pixels': 39}","{'left': 0, 'top': 0, 'right': 178, 'bottom': 218}","{'width': 178, 'height': 218}","{'positive_fields': ['Brown_Hair'], 'color_hint': 'Brown_Hair', 'texture_hint': None, 'bangs_hint': False, 'male_hint': False, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000026,CelebA_full_hair,000216.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000216.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000216_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000026.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000026_mask.png,train,female,1.0,high,['usable_candidate'],"{'positive_pixels': 9027, 'coverage_ratio': 0.232631, 'bbox_x': 32, 'bbox_y': 31, 'bbox_width': 122, 'bbox_height': 171}","{'component_count': 1, 'largest_component_pixels': 9027, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.043071, 'top_band_span_ratio': 0.325843, 'side_bias_ratio': 0.12662, 'outer_side_ratio': 0.074665, 'top_rows_with_pixels': 8}","{'left': 13, 'top': 8, 'right': 173, 'bottom': 215}","{'width': 160, 'height': 207}","{'positive_fields': ['Black_Hair', 'Straight_Hair', 'Receding_Hairline'], 'color_hint': 'Black_Hair', 'texture_hint': 'Straight_Hair', 'bangs_hint': False, 'male_hint': False, 'receding_hairline_hint': True}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000030,CelebA_full_hair,000239.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000239.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000239_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000030.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000030_mask.png,train,female,1.0,high,['usable_candidate'],"{'positive_pixels': 9775, 'coverage_ratio': 0.251907, 'bbox_x': 19, 'bbox_y': 16, 'bbox_width': 135, 'bbox_height': 155}","{'component_count': 1, 'largest_component_pixels': 9775, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.2155, 'top_band_span_ratio': 0.522472, 'side_bias_ratio': 0.192839, 'outer_side_ratio': 0.117852, 'top_rows_with_pixels': 23}","{'left': 0, 'top': 0, 'right': 175, 'bottom': 183}","{'width': 175, 'height': 183}","{'positive_fields': ['Bangs', 'Blond_Hair', 'Straight_Hair'], 'color_hint': 'Blond_Hair', 'texture_hint': 'Straight_Hair', 'bangs_hint': True, 'male_hint': False, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000038,CelebA_full_hair,000352.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000352.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000352_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000038.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000038_mask.png,train,male,1.0,high,['usable_candidate'],"{'positive_pixels': 8375, 'coverage_ratio': 0.215828, 'bbox_x': 23, 'bbox_y': 11, 'bbox_width': 125, 'bbox_height': 124}","{'component_count': 1, 'largest_component_pixels': 8375, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.229473, 'top_band_span_ratio': 0.455056, 'side_bias_ratio': 0.042866, 'outer_side_ratio': 0.044537, 'top_rows_with_pixels': 28}","{'left': 3, 'top': 0, 'right': 168, 'bottom': 144}","{'width': 165, 'height': 144}","{'positive_fields': ['Male', 'Bangs', 'Brown_Hair'], 'color_hint': 'Brown_Hair', 'texture_hint': None, 'bangs_hint': True, 'male_hint': True, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000040,CelebA_full_hair,000367.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000367.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000367_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000040.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000040_mask.png,train,male,1.0,high,['usable_candidate'],"{'positive_pixels': 9029, 'coverage_ratio': 0.232682, 'bbox_x': 35, 'bbox_y': 12, 'bbox_width': 128, 'bbox_height': 153}","{'component_count': 1, 'largest_component_pixels': 9029, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.307548, 'top_band_span_ratio': 0.595506, 'side_bias_ratio': 0.088936, 'outer_side_ratio': 0.118064, 'top_rows_with_pixels': 27}","{'left': 15, 'top': 0, 'right': 178, 'bottom': 177}","{'width': 163, 'height': 177}","{'positive_fields': ['Male', 'Black_Hair'], 'color_hint': 'Black_Hair', 'texture_hint': None, 'bangs_hint': False, 'male_hint': True, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000051,CelebA_full_hair,000446.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000446.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000446_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000051.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000051_mask.png,train,female,1.0,high,['usable_candidate'],"{'positive_pixels': 8615, 'coverage_ratio': 0.222013, 'bbox_x': 26, 'bbox_y': 15, 'bbox_width': 137, 'bbox_height': 123}","{'component_count': 1, 'largest_component_pixels': 8615, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.249784, 'top_band_span_ratio': 0.573034, 'side_bias_ratio': 0.004527, 'outer_side_ratio': 0.156355, 'top_rows_with_pixels': 24}","{'left': 5, 'top': 0, 'right': 178, 'bottom': 147}","{'width': 173, 'height': 147}","{'positive_fields': ['Straight_Hair'], 'color_hint': None, 'texture_hint': 'Straight_Hair', 'bangs_hint': False, 'male_hint': False, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000055,CelebA_full_hair,000495.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000495.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000495_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000055.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000055_mask.png,train,female,1.0,high,['usable_candidate'],"{'positive_pixels': 9410, 'coverage_ratio': 0.242501, 'bbox_x': 19, 'bbox_y': 14, 'bbox_width': 134, 'bbox_height': 178}","{'component_count': 1, 'largest_component_pixels': 9410, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.241573, 'top_band_span_ratio': 0.488764, 'side_bias_ratio': 0.031031, 'outer_side_ratio': 0.099575, 'top_rows_with_pixels': 25}","{'left': 0, 'top': 0, 'right': 174, 'bottom': 206}","{'width': 174, 'height': 206}","{'positive_fields': ['Brown_Hair'], 'color_hint': 'Brown_Hair', 'texture_hint': None, 'bangs_hint': False, 'male_hint': False, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000059,CelebA_full_hair,000667.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000667.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000667_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000059.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000059_mask.png,train,female,1.0,high,['usable_candidate'],"{'positive_pixels': 10673, 'coverage_ratio': 0.275049, 'bbox_x': 13, 'bbox_y': 3, 'bbox_width': 147, 'bbox_height': 161}","{'component_count': 1, 'largest_component_pixels': 10673, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.4431, 'top_band_span_ratio': 0.685393, 'side_bias_ratio': 0.113651, 'outer_side_ratio': 0.215684, 'top_rows_with_pixels': 36}","{'left': 0, 'top': 0, 'right': 178, 'bottom': 176}","{'width': 178, 'height': 176}","{'positive_fields': ['Bangs', 'Blond_Hair', 'Wavy_Hair'], 'color_hint': 'Blond_Hair', 'texture_hint': 'Wavy_Hair', 'bangs_hint': True, 'male_hint': False, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
celeba_full_hair_000062,CelebA_full_hair,000732.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\raw\celeba\img_align_celeba\img_align_celeba\000732.jpg,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\datasets\celeba_hair_rich\segmentation_masks\000732_hair_mask.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000062.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000062_mask.png,train,male,1.0,high,['usable_candidate'],"{'positive_pixels': 9522, 'coverage_ratio': 0.245387, 'bbox_x': 26, 'bbox_y': 17, 'bbox_width': 142, 'bbox_height': 143}","{'component_count': 1, 'largest_component_pixels': 9522, 'secondary_component_pixels': 0, 'stray_pixels': 0, 'stray_ratio': 0.0}","{'top_band_coverage': 0.163065, 'top_band_span_ratio': 0.533708, 'side_bias_ratio': 0.214451, 'outer_side_ratio': 0.198593, 'top_rows_with_pixels': 22}","{'left': 4, 'top': 0, 'right': 178, 'bottom': 171}","{'width': 174, 'height': 171}","{'positive_fields': ['Male', 'Brown_Hair', 'Wavy_Hair'], 'color_hint': 'Brown_Hair', 'texture_hint': 'Wavy_Hair', 'bangs_hint': False, 'male_hint': True, 'receding_hairline_hint': False}","{'status': 'seed_from_celeba_attributes', 'taxonomy_source': 'CelebA_native_attributes', 'normalized_attributes': {'length': None, 'curl': None, 'bang': None, 'volume': None, 'side_hair': None, 'color': None, 'style_family': None}, 'notes': ''}",1.0,['full_hair_candidate'],True,"{'keep': 'yes', 'notes': 'codex_visual_review'}","{'status': 'reviewed_render_safe_keep', 'source': 'manual_render_review'}"
