asset_id,image_path,mask_path,partition,gender_label,confidence_bucket,quality_score,color_hint,texture_hint,bangs_hint,male_hint,review_keep,review_gender,review_length,review_curl,review_bang,review_volume,review_side_hair,review_color,review_style_family,review_notes
celeba_hair_000001,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000001.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000001_mask.png,train,female,high,1.0,Brown_Hair,,False,False,no,,,,,,,,,sample_reference
celeba_hair_000002,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000002.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000002_mask.png,train,female,high,1.0,Brown_Hair,Wavy_Hair,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000003,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000003.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000003_mask.png,train,male,medium,0.96,Black_Hair,Straight_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000004,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000004.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000004_mask.png,train,male,medium,0.96,Black_Hair,,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000005,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000005.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000005_mask.png,train,female,high,1.0,Black_Hair,,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000006,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000006.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000006_mask.png,train,male,medium,0.96,Black_Hair,Straight_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000007,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000007.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000007_mask.png,train,male,medium,0.96,Blond_Hair,Straight_Hair,False,True,no,,,,,,,,,sample_reference
celeba_hair_000008,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000008.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000008_mask.png,train,female,high,1.0,Black_Hair,,False,False,no,,,,,,,,,sample_reference
celeba_hair_000009,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000009.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000009_mask.png,train,male,medium,1.0,,Straight_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000010,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000010.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000010_mask.png,train,male,medium,0.96,,Straight_Hair,False,True,no,,,,,,,,,sample_reference
celeba_hair_000011,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000011.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000011_mask.png,train,female,high,1.0,Blond_Hair,Wavy_Hair,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000012,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000012.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000012_mask.png,train,female,high,1.0,Blond_Hair,Wavy_Hair,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000013,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000013.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000013_mask.png,train,male,medium,0.96,Black_Hair,,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000014,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000014.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000014_mask.png,train,female,high,1.0,Blond_Hair,Wavy_Hair,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000015,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000015.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000015_mask.png,train,male,medium,1.0,Brown_Hair,Straight_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000016,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000016.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000016_mask.png,train,female,high,1.0,Blond_Hair,,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000017,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000017.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000017_mask.png,train,male,medium,0.96,,,False,True,no,,,,,,,,,sample_reference
celeba_hair_000018,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000018.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000018_mask.png,train,female,high,1.0,,Straight_Hair,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000019,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000019.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000019_mask.png,train,female,medium,0.96,Brown_Hair,Wavy_Hair,False,False,no,,,,,,,,,sample_reference
celeba_hair_000020,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000020.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000020_mask.png,train,female,high,1.0,Blond_Hair,Wavy_Hair,True,False,no,,,,,,,,,sample_reference
celeba_hair_000021,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000021.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000021_mask.png,train,male,medium,0.96,,Wavy_Hair,False,True,no,,,,,,,,,sample_reference
celeba_hair_000022,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000022.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000022_mask.png,train,female,medium,0.96,,,False,False,no,,,,,,,,,sample_reference
celeba_hair_000023,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000023.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000023_mask.png,train,male,medium,1.0,Brown_Hair,Straight_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000024,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000024.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000024_mask.png,train,male,high,1.0,Black_Hair,Straight_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000025,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000025.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000025_mask.png,train,female,high,1.0,Brown_Hair,Wavy_Hair,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000026,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000026.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000026_mask.png,train,male,high,1.0,Black_Hair,Straight_Hair,False,True,no,,,,,,,,,sample_reference
celeba_hair_000027,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000027.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000027_mask.png,train,female,high,1.0,Black_Hair,,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000028,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000028.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000028_mask.png,train,male,medium,0.96,Black_Hair,,False,True,no,,,,,,,,,sample_reference
celeba_hair_000029,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000029.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000029_mask.png,train,female,high,1.0,Brown_Hair,Wavy_Hair,False,False,yes,,,,,,,,,sample_reference
celeba_hair_000030,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000030.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000030_mask.png,train,female,medium,0.96,Brown_Hair,Wavy_Hair,False,False,no,,,,,,,,,sample_reference
celeba_hair_000031,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000031.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000031_mask.png,train,female,high,1.0,Black_Hair,Wavy_Hair,True,False,no,,,,,,,,,sample_reference
celeba_hair_000032,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000032.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000032_mask.png,train,male,high,1.0,,,True,True,yes,,,,,,,,,sample_reference
celeba_hair_000033,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000033.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000033_mask.png,train,male,medium,0.96,Black_Hair,,False,True,no,,,,,,,,,sample_reference
celeba_hair_000034,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000034.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000034_mask.png,train,male,medium,0.96,Black_Hair,,False,True,no,,,,,,,,,sample_reference
celeba_hair_000035,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000035.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000035_mask.png,train,male,high,1.0,Brown_Hair,Straight_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000036,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000036.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000036_mask.png,train,male,high,1.0,,,True,True,no,,,,,,,,,sample_reference
celeba_hair_000037,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000037.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000037_mask.png,train,male,high,1.0,Black_Hair,Wavy_Hair,False,True,yes,,,,,,,,,sample_reference
celeba_hair_000038,backend/data/processed/celeba_hair_rich_assets/images/celeba_hair_000038.png,backend/data/processed/celeba_hair_rich_assets/masks/celeba_hair_000038_mask.png,train,male,high,1.0,Black_Hair,Straight_Hair,False,True,no,,,,,,,,,sample_reference
