asset_id,image_path,mask_path,partition,gender_label,confidence_bucket,quality_score,color_hint,texture_hint,bangs_hint,male_hint,review_keep,review_gender,review_length,review_curl,review_bang,review_volume,review_side_hair,review_color,review_style_family,review_notes
celeba_hair_000001,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000001.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000001_mask.png,train,female,high,1,Brown_Hair,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000002,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000002.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000002_mask.png,train,female,high,1,Brown_Hair,Wavy_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000005,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000005.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000005_mask.png,train,female,high,1,Black_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000008,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000008.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000008_mask.png,train,female,high,1,Black_Hair,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000011,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000011.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000011_mask.png,train,female,high,1,Blond_Hair,Wavy_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000012,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000012.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000012_mask.png,train,female,high,1,Blond_Hair,Wavy_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000014,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000014.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000014_mask.png,train,female,high,1,Blond_Hair,Wavy_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000016,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000016.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000016_mask.png,train,female,high,1,Blond_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000018,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000018.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000018_mask.png,train,female,high,1,,Straight_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000020,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000020.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000020_mask.png,train,female,high,1,Blond_Hair,Wavy_Hair,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000025,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000025.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000025_mask.png,train,female,high,1,Brown_Hair,Wavy_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000027,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000027.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000027_mask.png,train,female,high,1,Black_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000029,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000029.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000029_mask.png,train,female,high,1,Brown_Hair,Wavy_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000031,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000031.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000031_mask.png,train,female,high,1,Black_Hair,Wavy_Hair,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000044,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000044.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000044_mask.png,train,female,high,1,,,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000054,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000054.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000054_mask.png,train,female,high,1,,Wavy_Hair,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000056,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000056.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000056_mask.png,train,female,high,1,,Wavy_Hair,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000059,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000059.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000059_mask.png,train,female,high,1,Blond_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000061,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000061.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000061_mask.png,train,female,high,1,Blond_Hair,,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000062,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000062.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000062_mask.png,train,female,high,1,,Wavy_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000019,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000019.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000019_mask.png,train,female,medium,0.96,Brown_Hair,Wavy_Hair,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000022,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000022.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000022_mask.png,train,female,medium,0.96,,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000030,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000030.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000030_mask.png,train,female,medium,0.96,Brown_Hair,Wavy_Hair,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000039,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000039.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000039_mask.png,train,female,medium,1,Black_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000040,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000040.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000040_mask.png,train,female,medium,0.96,Black_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000041,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000041.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000041_mask.png,train,female,medium,0.96,,Wavy_Hair,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000047,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000047.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000047_mask.png,train,female,medium,0.96,Blond_Hair,Straight_Hair,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000049,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000049.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000049_mask.png,train,female,medium,0.96,Brown_Hair,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000051,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000051.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000051_mask.png,train,female,medium,0.96,Black_Hair,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000055,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000055.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000055_mask.png,train,female,medium,0.96,,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000060,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000060.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000060_mask.png,train,female,medium,0.96,,Straight_Hair,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000069,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000069.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000069_mask.png,train,female,medium,0.96,Blond_Hair,Wavy_Hair,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000072,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000072.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000072_mask.png,train,female,medium,0.96,Black_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000075,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000075.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000075_mask.png,train,female,medium,0.96,Blond_Hair,,TRUE,FALSE,no,,,,,,,,,
celeba_hair_000084,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000084.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000084_mask.png,train,female,medium,0.96,Blond_Hair,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000091,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000091.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000091_mask.png,train,female,medium,0.96,Blond_Hair,Straight_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000097,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000097.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000097_mask.png,train,female,medium,0.96,Blond_Hair,,FALSE,FALSE,no,,,,,,,,,
celeba_hair_000100,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000100.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000100_mask.png,train,female,medium,0.96,Brown_Hair,Straight_Hair,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000101,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000101.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000101_mask.png,train,female,medium,0.96,Black_Hair,,FALSE,FALSE,yes,,,,,,,,,
celeba_hair_000106,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000106.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000106_mask.png,train,female,medium,0.96,,Straight_Hair,TRUE,FALSE,yes,,,,,,,,,
celeba_hair_000024,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000024.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000024_mask.png,train,male,high,1,Black_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000026,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000026.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000026_mask.png,train,male,high,1,Black_Hair,Straight_Hair,FALSE,TRUE,no,,,,,,,,,
celeba_hair_000032,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000032.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000032_mask.png,train,male,high,1,,,TRUE,TRUE,yes,,,,,,,,,
celeba_hair_000035,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000035.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000035_mask.png,train,male,high,1,Brown_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000036,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000036.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000036_mask.png,train,male,high,1,,,TRUE,TRUE,no,,,,,,,,,
celeba_hair_000037,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000037.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000037_mask.png,train,male,high,1,Black_Hair,Wavy_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000038,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000038.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000038_mask.png,train,male,high,1,Black_Hair,Straight_Hair,FALSE,TRUE,no,,,,,,,,,
celeba_hair_000046,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000046.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000046_mask.png,train,male,high,1,Black_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000052,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000052.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000052_mask.png,train,male,high,1,Black_Hair,,FALSE,TRUE,no,,,,,,,,,
celeba_hair_000066,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000066.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000066_mask.png,train,male,high,1,Black_Hair,,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000070,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000070.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000070_mask.png,train,male,high,1,Black_Hair,Straight_Hair,TRUE,TRUE,yes,,,,,,,,,
celeba_hair_000071,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000071.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000071_mask.png,train,male,high,1,Brown_Hair,Straight_Hair,TRUE,TRUE,yes,,,,,,,,,
celeba_hair_000073,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000073.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000073_mask.png,train,male,high,1,,Wavy_Hair,FALSE,TRUE,no,,,,,,,,,
celeba_hair_000077,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000077.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000077_mask.png,train,male,high,1,Gray_Hair,Straight_Hair,FALSE,TRUE,no,,,,,,,,,
celeba_hair_000080,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000080.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000080_mask.png,train,male,high,1,Black_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000088,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000088.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000088_mask.png,train,male,high,1,Blond_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000092,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000092.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000092_mask.png,train,male,high,1,Black_Hair,,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000093,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000093.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000093_mask.png,train,male,high,1,Black_Hair,,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000096,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000096.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000096_mask.png,train,male,high,1,Black_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000105,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000105.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000105_mask.png,train,male,high,1,Black_Hair,,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000003,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000003.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000003_mask.png,train,male,medium,0.96,Black_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000004,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000004.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000004_mask.png,train,male,medium,0.96,Black_Hair,,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000006,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000006.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000006_mask.png,train,male,medium,0.96,Black_Hair,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
celeba_hair_000007,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000007.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000007_mask.png,train,male,medium,0.96,Blond_Hair,Straight_Hair,FALSE,TRUE,no,,,,,,,,,
celeba_hair_000009,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000009.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000009_mask.png,train,male,medium,1,,Straight_Hair,FALSE,TRUE,yes,,,,,,,,,
