asset_id,gender_label,confidence_bucket,quality_score,length,curl,bang,volume,side_hair,color,style_family,labeling_status,labeling_notes
celeba_hair_000002,female,high,1.0,long,wavy,,high,full,brown,long_layered,reviewed_labeled,sample_reference
celeba_hair_000003,male,medium,0.96,short,straight,,,,black,pompadour,reviewed_labeled,sample_reference
celeba_hair_000004,male,medium,0.96,short,,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000005,female,high,1.0,medium,,side_bangs,,,black,,reviewed_labeled,sample_reference
celeba_hair_000006,male,medium,0.96,medium,straight,,,,black,,reviewed_labeled,sample_reference
celeba_hair_000009,male,medium,1.0,short,straight,,,,,pompadour,reviewed_labeled,sample_reference
celeba_hair_000011,female,high,1.0,long,wavy,,high,full,blonde,long_layered,reviewed_labeled,sample_reference
celeba_hair_000012,female,high,1.0,long,wavy,,,full,blonde,long_layered,reviewed_labeled,sample_reference
celeba_hair_000013,male,medium,0.96,long,,,,full,black,long_layered,reviewed_labeled,sample_reference
celeba_hair_000014,female,high,1.0,long,wavy,,,full,blonde,long_layered,reviewed_labeled,sample_reference
celeba_hair_000015,male,medium,1.0,short,straight,,,,brown,pompadour,reviewed_labeled,sample_reference
celeba_hair_000016,female,high,1.0,medium,,,,partial,blonde,bob,reviewed_labeled,sample_reference
celeba_hair_000018,female,high,1.0,long,straight,,,full,,center_part,reviewed_labeled,sample_reference
celeba_hair_000023,male,medium,1.0,short,straight,,,,brown,pompadour,reviewed_labeled,sample_reference
celeba_hair_000024,male,high,1.0,short,straight,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000025,female,high,1.0,long,wavy,,high,full,brown,long_layered,reviewed_labeled,sample_reference
celeba_hair_000027,female,high,1.0,medium,,,,partial,black,updo,reviewed_labeled,sample_reference
celeba_hair_000029,female,high,1.0,long,wavy,,high,full,brown,center_part,reviewed_labeled,sample_reference
celeba_hair_000032,male,high,1.0,medium,,,,partial,,bob,reviewed_labeled,sample_reference
celeba_hair_000035,male,high,1.0,short,straight,,,,brown,pompadour,reviewed_labeled,sample_reference
celeba_hair_000037,male,high,1.0,short,wavy,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000039,female,medium,1.0,long,,,,full,black,long_layered,reviewed_labeled,sample_reference
celeba_hair_000040,female,medium,0.96,long,,side_bangs,high,full,black,long_layered,reviewed_labeled,sample_reference
celeba_hair_000042,male,medium,1.0,short,straight,,,,brown,side_part,reviewed_labeled,sample_reference
celeba_hair_000043,male,medium,1.0,short,straight,,,,black,side_part,reviewed_labeled,sample_reference
