asset_id,gender_label,quality_score,review_length,review_curl,pred_length,pred_length_confidence,pred_curl,pred_curl_confidence
celeba_hair_000002,female,1.0,long,wavy,short,0.6502442955970764,straight,0.7360302805900574
celeba_hair_000003,male,0.96,short,straight,short,0.6875388622283936,straight,0.6836701035499573
celeba_hair_000004,male,0.96,short,,short,0.467601478099823,straight,0.5124964118003845
celeba_hair_000005,female,1.0,medium,,short,0.47513696551322937,straight,0.49153250455856323
celeba_hair_000006,male,0.96,medium,straight,short,0.548526406288147,straight,0.5024651288986206
celeba_hair_000009,male,1.0,short,straight,short,0.7041755318641663,straight,0.6403007507324219
celeba_hair_000011,female,1.0,long,wavy,short,0.7827983498573303,straight,0.7179370522499084
celeba_hair_000012,female,1.0,long,wavy,short,0.5971485376358032,straight,0.7512605786323547
celeba_hair_000013,male,0.96,long,,short,0.517351508140564,wavy,0.5107367038726807
celeba_hair_000014,female,1.0,long,wavy,short,0.7247695922851562,straight,0.5655620694160461
celeba_hair_000015,male,1.0,short,straight,short,0.7735300064086914,straight,0.6532957553863525
celeba_hair_000016,female,1.0,medium,,short,0.9408116936683655,straight,0.8745546936988831
celeba_hair_000018,female,1.0,long,straight,short,0.5448874235153198,straight,0.5743487477302551
celeba_hair_000023,male,1.0,short,straight,short,0.8272017240524292,straight,0.7563157677650452
celeba_hair_000024,male,1.0,short,straight,short,0.8234743475914001,straight,0.7476028800010681
celeba_hair_000025,female,1.0,long,wavy,short,0.6034018397331238,wavy,0.49824491143226624
celeba_hair_000027,female,1.0,medium,,short,0.7398463487625122,straight,0.7822713851928711
celeba_hair_000029,female,1.0,long,wavy,short,0.6842179298400879,straight,0.5504679679870605
celeba_hair_000032,male,1.0,medium,,long,0.437694787979126,wavy,0.6541500091552734
celeba_hair_000035,male,1.0,short,straight,short,0.7878730893135071,straight,0.7725172638893127
celeba_hair_000037,male,1.0,short,wavy,short,0.5222131013870239,wavy,0.5027236938476562
celeba_hair_000039,female,1.0,long,,short,0.5545729994773865,straight,0.5912265777587891
celeba_hair_000040,female,0.96,long,,short,0.892189085483551,straight,0.8225710988044739
celeba_hair_000042,male,1.0,short,straight,short,0.7474473714828491,straight,0.6961140036582947
celeba_hair_000043,male,1.0,short,straight,short,0.6984864473342896,straight,0.6207637786865234
celeba_hair_000046,male,1.0,short,straight,short,0.7821667194366455,straight,0.6622071266174316
celeba_hair_000048,male,1.0,short,,short,0.7081209421157837,straight,0.7155418992042542
celeba_hair_000059,female,1.0,long,,short,0.7882247567176819,straight,0.6429256200790405
celeba_hair_000062,female,1.0,medium,wavy,short,0.4701683223247528,wavy,0.519969642162323
celeba_hair_000065,female,1.0,long,,short,0.6857442855834961,straight,0.625196635723114
celeba_hair_000066,male,1.0,long,,short,0.5586654543876648,straight,0.5590760707855225
celeba_hair_000068,male,0.96,short,straight,short,0.8224759101867676,straight,0.7195345163345337
celeba_hair_000070,male,1.0,short,straight,short,0.7416559457778931,straight,0.6749891042709351
celeba_hair_000071,male,1.0,short,straight,short,0.6596076488494873,straight,0.5735381245613098
celeba_hair_000072,female,0.96,short,,short,0.7817293405532837,straight,0.7449177503585815
celeba_hair_000074,female,1.0,medium,straight,short,0.6182727813720703,straight,0.6539646983146667
celeba_hair_000078,male,0.96,short,,short,0.454083114862442,wavy,0.5261793732643127
celeba_hair_000079,female,1.0,long,wavy,short,0.4946168065071106,wavy,0.48886701464653015
celeba_hair_000080,male,1.0,short,straight,short,0.70270836353302,straight,0.6415324807167053
celeba_hair_000081,male,0.96,short,wavy,short,0.49942898750305176,straight,0.4935281276702881
celeba_hair_000083,female,1.0,long,,short,0.7690986394882202,straight,0.7851954102516174
celeba_hair_000085,male,0.96,long,straight,long,0.47745078802108765,wavy,0.566051721572876
celeba_hair_000087,female,1.0,long,,short,0.7928961515426636,straight,0.7221308350563049
celeba_hair_000088,male,1.0,short,straight,short,0.8400025963783264,straight,0.7547520995140076
celeba_hair_000089,male,0.96,short,straight,short,0.6146828532218933,straight,0.5341141819953918
celeba_hair_000090,female,1.0,short,wavy,short,0.7759946584701538,straight,0.8387815952301025
celeba_hair_000091,female,0.96,long,straight,short,0.7326492667198181,straight,0.791448175907135
celeba_hair_000092,male,1.0,,,short,0.6240352988243103,straight,0.6350235939025879
celeba_hair_000093,male,1.0,short,,short,0.5660943388938904,straight,0.5159007906913757
celeba_hair_000094,female,1.0,long,straight,short,0.5308325886726379,straight,0.5042163729667664
celeba_hair_000096,male,1.0,short,straight,short,0.71804279088974,straight,0.5865892767906189
celeba_hair_000099,female,1.0,long,wavy,short,0.5250630974769592,straight,0.5432646870613098
celeba_hair_000100,female,0.96,medium,straight,short,0.60850989818573,straight,0.590027391910553
celeba_hair_000101,female,0.96,short,,short,0.7427423000335693,straight,0.6015945672988892
celeba_hair_000102,female,1.0,long,wavy,short,0.7801311016082764,straight,0.7964493036270142
celeba_hair_000105,male,1.0,short,,short,0.5661465525627136,straight,0.6594759225845337
celeba_hair_000106,female,0.96,medium,straight,short,0.8882371187210083,straight,0.8637501001358032
celeba_hair_000108,male,1.0,short,straight,short,0.7367755174636841,straight,0.6471838355064392
celeba_hair_000112,female,1.0,long,straight,short,0.5057328939437866,straight,0.5131464004516602
celeba_hair_000115,female,1.0,long,,short,0.510343611240387,wavy,0.5204216241836548
celeba_hair_000118,male,1.0,short,,short,0.8512850403785706,straight,0.6962950825691223
celeba_hair_000120,female,0.96,long,wavy,short,0.49253061413764954,straight,0.5205106139183044
celeba_hair_000123,male,1.0,short,straight,short,0.5857028365135193,straight,0.6103106737136841
celeba_hair_000124,female,1.0,long,straight,short,0.6937171220779419,straight,0.6515543460845947
celeba_hair_000127,male,1.0,short,,short,0.7746760845184326,straight,0.6288006901741028
celeba_hair_000128,male,1.0,short,straight,short,0.8024986982345581,straight,0.6566662788391113
celeba_hair_000131,male,0.96,short,straight,short,0.5744965672492981,straight,0.5854358077049255
celeba_hair_000132,male,0.96,short,,short,0.5265991687774658,wavy,0.502155065536499
celeba_hair_000133,female,0.96,long,wavy,short,0.5154024362564087,straight,0.4974512457847595
celeba_hair_000134,female,1.0,long,,short,0.765652596950531,straight,0.5223582983016968
celeba_hair_000138,female,1.0,short,straight,short,0.8537935614585876,straight,0.7294542193412781
celeba_hair_000141,male,1.0,short,straight,short,0.8368718028068542,straight,0.869268536567688
celeba_hair_000142,female,1.0,long,straight,long,0.5493727326393127,straight,0.5042322278022766
celeba_hair_000148,female,1.0,long,wavy,short,0.7063757181167603,straight,0.7755672931671143
celeba_hair_000149,female,0.96,long,wavy,short,0.5331258773803711,straight,0.5725734829902649
celeba_hair_000152,female,1.0,short,wavy,long,0.4470897912979126,wavy,0.6984062194824219
celeba_hair_000153,female,1.0,short,wavy,short,0.6268903613090515,straight,0.5857172012329102
celeba_hair_000154,female,1.0,long,straight,short,0.5577152967453003,straight,0.5720248222351074
celeba_hair_000157,female,0.96,long,wavy,short,0.567875862121582,straight,0.5821213126182556
celeba_hair_000161,male,1.0,short,curly,short,0.47933849692344666,wavy,0.4875450134277344
celeba_hair_000163,female,0.96,long,wavy,short,0.5940236449241638,straight,0.6384202241897583
celeba_hair_000164,female,1.0,short,straight,short,0.7612162828445435,straight,0.5953289866447449
celeba_hair_000168,male,0.96,short,straight,short,0.4722658097743988,wavy,0.5641181468963623
celeba_hair_000169,female,1.0,long,wavy,short,0.782475471496582,straight,0.7993652820587158
celeba_hair_000170,female,1.0,long,straight,short,0.5063819289207458,straight,0.5921179056167603
celeba_hair_000171,female,1.0,long,wavy,long,0.4636080861091614,wavy,0.526265561580658
celeba_hair_000174,female,1.0,long,wavy,long,0.6857244372367859,wavy,0.62217116355896
celeba_hair_000178,female,1.0,short,,short,0.7520719766616821,straight,0.6610634326934814
celeba_hair_000180,female,1.0,short,curly,short,0.8295663595199585,straight,0.7818379998207092
celeba_hair_000181,male,0.96,short,,short,0.8171303868293762,straight,0.7187996506690979
celeba_hair_000185,male,0.96,short,straight,short,0.7280150055885315,straight,0.72603839635849
celeba_hair_000186,male,0.96,short,straight,long,0.5174292325973511,straight,0.5486398339271545
celeba_hair_000187,male,1.0,short,,short,0.6258312463760376,straight,0.5663314461708069
celeba_hair_000188,female,1.0,long,wavy,short,0.5147972106933594,wavy,0.4852442741394043
celeba_hair_000189,female,1.0,long,wavy,short,0.702049970626831,straight,0.6944816708564758
celeba_hair_000190,female,1.0,long,wavy,short,0.6906769871711731,straight,0.7325495481491089
celeba_hair_000193,female,1.0,long,wavy,short,0.599055826663971,straight,0.6520700454711914
celeba_hair_000195,female,1.0,long,straight,short,0.6322205066680908,straight,0.6201077699661255
celeba_hair_000200,female,1.0,long,straight,short,0.49194830656051636,straight,0.6281087398529053
celeba_hair_000205,female,1.0,long,wavy,short,0.5050761699676514,straight,0.5504475831985474
celeba_hair_000209,female,1.0,long,wavy,long,0.9080685377120972,wavy,0.8164759874343872
celeba_hair_000210,female,1.0,long,wavy,short,0.5275759696960449,straight,0.5267938375473022
celeba_hair_000212,female,0.96,long,wavy,long,0.9566907286643982,wavy,0.8686871528625488
celeba_hair_000213,female,0.96,long,straight,short,0.7320339679718018,straight,0.7043926119804382
celeba_hair_000225,male,1.0,short,wavy,short,0.7082446217536926,straight,0.5897576808929443
celeba_hair_000226,male,1.0,short,straight,short,0.7621143460273743,straight,0.7170635461807251
celeba_hair_000227,female,1.0,long,wavy,short,0.8166974186897278,straight,0.7317471504211426
celeba_hair_000231,female,1.0,long,,long,0.48761701583862305,wavy,0.5970525145530701
celeba_hair_000232,female,1.0,,wavy,short,0.9366698265075684,straight,0.8971418142318726
celeba_hair_000233,male,1.0,,wavy,short,0.6131054759025574,straight,0.6874339580535889
celeba_hair_000235,male,1.0,short,,short,0.9299001693725586,straight,0.8798049688339233
celeba_hair_000236,female,1.0,long,wavy,short,0.5362898111343384,straight,0.6367969512939453
celeba_hair_000237,male,1.0,short,,short,0.6877074837684631,straight,0.5875569581985474
celeba_hair_000240,female,1.0,long,wavy,short,0.834426760673523,straight,0.6995847821235657
celeba_hair_000241,female,1.0,long,straight,short,0.6380552649497986,straight,0.5922591686248779
celeba_hair_000242,female,1.0,long,straight,short,0.5466346144676208,straight,0.5947952270507812
celeba_hair_000245,female,1.0,long,,short,0.4626512825489044,straight,0.5078189373016357
celeba_hair_000246,female,1.0,long,wavy,short,0.5093798041343689,straight,0.5320058465003967
celeba_hair_000249,male,1.0,short,,short,0.5987189412117004,straight,0.4881857931613922
celeba_hair_000250,female,0.96,long,,short,0.7721307873725891,straight,0.7331880331039429
