asset_id,image_path,mask_path,gender_label,confidence_bucket,quality_score,suggested_gender,suggested_color,suggested_curl,suggested_bang,source_color_hint,source_texture_hint,source_positive_fields,label_gender,label_length,label_curl,label_bang,label_volume,label_side_hair,label_color,label_style_family,label_notes
celeba_hair_000002,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000002.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000002_mask.png,female,high,1.0,female,brown,wavy,,Brown_Hair,Wavy_Hair,"Brown_Hair,Wavy_Hair",female,long,wavy,,high,full,brown,long_layered,sample_reference
celeba_hair_000003,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000003.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000003_mask.png,male,medium,0.96,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Straight_Hair",male,short,straight,,,,black,pompadour,sample_reference
celeba_hair_000004,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000004.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000004_mask.png,male,medium,0.96,male,black,,,Black_Hair,,"Male,Black_Hair",male,short,straight,,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000005,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000005.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000005_mask.png,female,high,1.0,female,black,,,Black_Hair,,Black_Hair,female,medium,straight,side_bangs,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000006,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000006.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000006_mask.png,male,medium,0.96,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Straight_Hair",male,medium,straight,,,,black,center_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000009,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000009.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000009_mask.png,male,medium,1.0,male,,straight,,,Straight_Hair,"Male,Straight_Hair",male,short,straight,,,,brown,pompadour,sample_reference; ai_review_completed_key_fields
celeba_hair_000011,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000011.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000011_mask.png,female,high,1.0,female,blonde,wavy,,Blond_Hair,Wavy_Hair,"Blond_Hair,Wavy_Hair",female,long,wavy,,high,full,blonde,long_layered,sample_reference
celeba_hair_000012,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000012.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000012_mask.png,female,high,1.0,female,blonde,wavy,,Blond_Hair,Wavy_Hair,"Blond_Hair,Wavy_Hair",female,long,wavy,,,full,blonde,long_layered,sample_reference
celeba_hair_000013,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000013.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000013_mask.png,male,medium,0.96,male,black,,,Black_Hair,,"Male,Black_Hair",male,long,wavy,,,full,black,long_layered,sample_reference; ai_review_completed_key_fields
celeba_hair_000014,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000014.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000014_mask.png,female,high,1.0,female,blonde,wavy,,Blond_Hair,Wavy_Hair,"Blond_Hair,Wavy_Hair",female,long,wavy,,,full,blonde,long_layered,sample_reference
