asset_id,source_hq_id,image_path,mask_path,color_hint,texture_hint,bangs_hint,male_hint,length,curl,bang,volume,side_hair,color,style_family,gender_suitability,review_status,notes
celebamask_hair_000001,4,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000001.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000001_mask.png,Brown_Hair,Straight_Hair,no,no,long,straight,none,medium,exposed,brown,one_length,female,approved,
celebamask_hair_000002,7,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000002.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000002_mask.png,Brown_Hair,Wavy_Hair,no,no,medium,wavy,none,medium,covered,brown,pompadour,male,approved,
celebamask_hair_000003,10,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000003.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000003_mask.png,Black_Hair,,no,yes,short,straight,none,low,covered,black,other,male,approved,
celebamask_hair_000004,16,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000004.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000004_mask.png,Black_Hair,Straight_Hair,no,no,medium,straight,none,medium,covered,black,regent,male,approved,
celebamask_hair_000005,18,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000005.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000005_mask.png,Black_Hair,Wavy_Hair,no,no,long,wavy,none,medium,exposed,black,long_wave,female,approved,
celebamask_hair_000006,21,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000006.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000006_mask.png,Blond_Hair,Straight_Hair,no,no,long,straight,none,high,covered,brown,long_wave,female,approved,
celebamask_hair_000007,22,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000007.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000007_mask.png,Blond_Hair,Wavy_Hair,no,no,long,wavy,none,high,exposed,brown,layered,female,approved,
celebamask_hair_000008,23,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000008.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000008_mask.png,Brown_Hair,Wavy_Hair,no,yes,short,wavy,none,medium,covered,brown,bob,female,approved,
celebamask_hair_000009,27,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000009.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000009_mask.png,Black_Hair,Wavy_Hair,no,no,short,wavy,none,medium,covered,black,regent,male,approved,
celebamask_hair_000010,30,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000010.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000010_mask.png,Black_Hair,Straight_Hair,no,yes,short,straight,none,low,exposed,black,pixie,female,approved,
celebamask_hair_000011,31,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000011.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000011_mask.png,Black_Hair,,yes,no,medium,wavy,choppy,low,covered,black,other,female,approved,
celebamask_hair_000012,32,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000012.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000012_mask.png,Black_Hair,,no,yes,short,wavy,none,medium,covered,black,regent,male,approved,
celebamask_hair_000013,33,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000013.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000013_mask.png,Colored_Hair,Wavy_Hair,no,no,short,wavy,none,medium,covered,other,bob,female,approved,
celebamask_hair_000014,35,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000014.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000014_mask.png,Black_Hair,Straight_Hair,no,no,long,straight,none,medium,covered,black,layered,female,approved,
celebamask_hair_000015,36,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000015.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000015_mask.png,Black_Hair,Wavy_Hair,no,no,long,wavy,none,low,covered,black,one_length,female,approved,
celebamask_hair_000016,39,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000016.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000016_mask.png,Brown_Hair,,no,yes,short,wavy,none,low,exposed,brown,pixie,female,approved,
celebamask_hair_000017,40,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000017.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000017_mask.png,Brown_Hair,Wavy_Hair,no,yes,medium,wavy,none,medium,exposed,brown,bob,female,approved,
celebamask_hair_000018,42,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000018.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000018_mask.png,Blond_Hair,Straight_Hair,no,no,medium,straight,none,medium,covered,brown,one_length,female,approved,
celebamask_hair_000019,45,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000019.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000019_mask.png,Blond_Hair,Straight_Hair,no,no,long,straight,none,high,covered,brown,long_wave,female,approved,
celebamask_hair_000020,47,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000020.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000020_mask.png,Black_Hair,Straight_Hair,no,no,medium,straight,none,medium,exposed,black,side_part,male,approved,
celebamask_hair_000021,50,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000021.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000021_mask.png,Brown_Hair,Wavy_Hair,no,no,long,straight,none,medium,exposed,brown,one_length,female,approved,
celebamask_hair_000022,52,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000022.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000022_mask.png,Blond_Hair,Straight_Hair,no,yes,long,straight,none,high,covered,brown,long_wave,female,approved,
celebamask_hair_000023,53,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000023.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000023_mask.png,Blond_Hair,,no,no,short,wavy,none,low,exposed,brown,other,neutral,approved,
celebamask_hair_000024,54,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000024.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000024_mask.png,Blond_Hair,Straight_Hair,no,no,long,straight,none,medium,covered,brown,one_length,female,approved,
celebamask_hair_000025,57,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000025.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000025_mask.png,Blond_Hair,Wavy_Hair,no,no,long,wavy,none,high,exposed,brown,layered,female,approved,
celebamask_hair_000026,58,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000026.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000026_mask.png,Black_Hair,,no,no,short,straight,none,medium,covered,brown,pixie,female,approved,
celebamask_hair_000027,59,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000027.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000027_mask.png,Brown_Hair,Wavy_Hair,no,no,long,wavy,none,high,covered,brown,layered,female,approved,
celebamask_hair_000028,60,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000028.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000028_mask.png,Blond_Hair,Straight_Hair,no,no,long,straight,none,medium,exposed,brown,layered,female,approved,
celebamask_hair_000029,61,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000029.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000029_mask.png,Black_Hair,,yes,no,long,wavy,side,medium,exposed,black,regent,female,approved,
celebamask_hair_000030,62,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000030.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000030_mask.png,Black_Hair,Straight_Hair,no,yes,short,straight,none,low,exposed,black,pixie,female,approved,
celebamask_hair_000031,63,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000031.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000031_mask.png,Colored_Hair,Wavy_Hair,yes,no,medium,wavy,side,medium,exposed,brown,layered,female,approved,
celebamask_hair_000032,65,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000032.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000032_mask.png,Black_Hair,Straight_Hair,no,no,long,straight,none,medium,exposed,black,side_part,female,approved,
